Country,Average_Price
Argentina,24.32576769025367
Australia,37.61739130434783
Austria,29.349736379613358
Brazil,17.0
Bulgaria,15.612903225806452
Canada,36.36538461538461
Chile,20.39499455930359
Croatia,30.533333333333335
Czech Republic,25.0
England,43.333333333333336
France,41.340231284236154
Georgia,19.894736842105264
Germany,45.91787439613527
Greece,23.068493150684933
Hungary,66.20689655172414
India,19.0
Israel,32.24770642201835
Italy,39.31877323420074
Lebanon,36.6
Luxembourg,22.5
Macedonia,16.25
Mexico,28.055555555555557
Moldova,16.545454545454547
Morocco,19.75
New Zealand,28.140684410646386
Peru,18.5
Portugal,24.6207605344296
Romania,22.142857142857142
Serbia,25.0
Slovenia,24.166666666666668
South Africa,25.9484126984127
Spain,28.307506053268764
Switzerland,160.0
Turkey,27.6875
US,36.91782121844752
Ukraine,6.0
Uruguay,25.16
