Country;Region;Year;URL;Title;Note;Class;Rating;Maturity
France;France - Bordeaux: Pomerol;1995;https://www.robertparker.com//search/wines?vintage=1995&country[]=France&region[]=Bordeaux&location[]=Pomerol;1995 Pomerol;92T;Outstanding;92;Still tannic, youthful, or slow to mature
Italy;Italy - Friuli Venezia Giulia: Collio;2015;https://www.robertparker.com//search/wines?vintage=2015&country[]=Italy&region[]=Friuli%20Venezia%20Giulia&location[]=Collio&color_class[]=White;2015 Italy: Friuli (Collio);92R;Outstanding;92;Ready to drink
USA;USA;2006;https://www.robertparker.com//search/wines?vintage=2006&country[]=USA&region[]=Washington&variety[]=Cabernet%20Sauvignon&variety[]=Syrah;"2006 Washington
Cabernet Sauvignon and Syrah";91R;Outstanding;91;Ready to drink
France;France - Loire Valley;2013;https://www.robertparker.com//search/wines?vintage=2013&country[]=France&region[]=Loire&color_class[]=Red;2013 Loire Valley (red);78E;Average;78;Early maturing and accessible
Spain;Spain - Castilla Leon: Ribera Del Duero;2005;https://www.robertparker.com//search/wines?vintage=2005&country[]=Spain&region[]=Castilla%20Le%C3%B3n&location[]=Ribera%20del%20Duero;2005 Spain:  Ribera del Duero;93T;Outstanding;93;Still tannic, youthful, or slow to mature
USA;USA - North Coast;1982;https://www.robertparker.com//search/wines?vintage=1982&country[]=USA&region[]=California&location[]=North%20Coast&variety[]=Chardonnay;1982 Calif N Coast Chardonnay;85C;Above-average;85;Caution, may be too old
France;France - Bordeaux: Graves / Pessac Leognan;1991;https://www.robertparker.com//search/wines?vintage=1991&country[]=France&region[]=Bordeaux&location[]=Graves&location[]=Pessac-Leognan;1991 Graves;74R;Average;74;Ready to drink
France;France - Bordeaux: Pomerol;1975;https://www.robertparker.com//search/wines?vintage=1975&country[]=France&region[]=Bordeaux&location[]=Pomerol;1975 Pomerol;94R;Outstanding;94;Ready to drink
France;France - Burgundy: Beaujolais;2008;https://www.robertparker.com//search/wines?vintage=2008&country[]=France&region[]=Burgundy&region[]=Beaujolais;2008 Beaujolais;86R;Above-average;86;Ready to drink
France;France - Rhone: Cote Rotie / Hermitage;1985;https://www.robertparker.com//search/wines?vintage=1985&country[]=France&region[]=Rh%C3%B4ne&location[]=Northern%20Rh%C3%B4ne&locale[]=Cote%20Rotie&locale[]=Hermitage;"1985 Northern Rhone
Cote Rotie / Hermitage";90R;Outstanding;90;Ready to drink
Italy;Italy - Veneto: Valpolicella (Amarone);2009;https://www.robertparker.com//search/wines?vintage=2009&country[]=Italy&region[]=Veneto&location[]=Amarone%20della%20Valpolicella;2009 Italy: Veneto (Valpolicella);92R;Outstanding;92;Ready to drink
France;France - Burgundy: Cote de Nuits;1976;https://www.robertparker.com//search/wines?vintage=1976&country[]=France&region[]=Burgundy&location[]=Cote%20de%20Nuits&color_class[]=Red;1976 Cote de Nuits (red);86C;Above-average;86;Caution, may be too old
Italy;Italy - Piedmont: Barolo;1971;https://www.robertparker.com//search/wines?vintage=1971&country[]=Italy&region[]=Piedmont&location[]=Barolo;1971 Italy:  Piedmont (Barolo);94R;Outstanding;94;Ready to drink
France;France - Bordeaux: St Julien / Pauillac / St Estephe;1980;https://www.robertparker.com//search/wines?vintage=1980&country[]=France&region[]=Bordeaux&location[]=Saint-Julien&location[]=Pauillac&location[]=Saint-Estephe;1980 St. Julien / Pauillac / St. Estephe;78C;Average;78;Caution, may be too old
France;France - Burgundy: Cote de Beaune;2008;https://www.robertparker.com//search/wines?vintage=2008&country[]=France&region[]=Burgundy&location[]=Cote%20de%20Beaune&color_class[]=Red;2008 Cote de Beaune (red);89I;Above-average;89;Irregular, even among the best wines
France;France - Loire Valley;2014;https://www.robertparker.com//search/wines?vintage=2014&country[]=France&region[]=Loire&color_class[]=Red;2014 Loire Valley (red);88E;Above-average;88;Early maturing and accessible
France;France - Rhone: Cote Rotie / Hermitage;2000;https://www.robertparker.com//search/wines?vintage=2000&country[]=France&region[]=Rh%C3%B4ne&location[]=Northern%20Rh%C3%B4ne&locale[]=Cote%20Rotie&locale[]=Hermitage;"2000 Northern Rhone
Cote Rotie / Hermitage";87E;Above-average;87;Early maturing and accessible
Germany;Germany - Mosel Saar Ruwer;2005;https://www.robertparker.com//search/wines?vintage=2005&country[]=Germany&region[]=Mosel%20Saar%20Ruwer;2005 Germany: Mosel-Saar-Ruwer;94R;Outstanding;94;Ready to drink
Austria;Austria;2010;https://www.robertparker.com//search/wines?vintage=2010&country[]=Austria&variety[]=Riesling&variety[]=Gr%C3%BCner%20Veltliner;2010 Austria (Riesling & Grüner Veltliner);88I;Above-average;88;Irregular, even among the best wines
Austria;Austria;1997;https://www.robertparker.com//search/wines?vintage=1997&country[]=Austria&variety[]=Riesling&variety[]=Gr%C3%BCner%20Veltliner;1997 Austria (Riesling & Grüner Veltliner);96R;Extraordinary;96;Ready to drink
France;France - Rhone: Cote Rotie / Hermitage;2007;https://www.robertparker.com//search/wines?vintage=2007&country[]=France&region[]=Rh%C3%B4ne&location[]=Northern%20Rh%C3%B4ne&locale[]=Cote%20Rotie&locale[]=Hermitage;"2007 Northern Rhone
Cote Rotie / Hermitage";89E;Above-average;89;Early maturing and accessible
Portugal;Portugal;1996;https://www.robertparker.com//search/wines?vintage=1996&country[]=Portugal&type[]=Fortified;1996 Portugal Vintage Port;NV;Not yet sufficiently tasted to rate;;
USA;USA - Central Coast: Paso Robles;2004;https://www.robertparker.com//search/wines?vintage=2004&country[]=USA&region[]=California&location[]=Central%20Coast&locale[]=San%20Luis%20Obispo%20County&site[]=Paso%20Robles;"2004 California
Central Coast:Paso Robles";94R;Outstanding;94;Ready to drink
South Africa;South Africa;2009;https://www.robertparker.com//search/wines?vintage=2009&country[]=South%20Africa;2009 South Africa;93R;Outstanding;93;Ready to drink
Italy;Italy - Tuscany: Chianti;1990;https://www.robertparker.com//search/wines?vintage=1990&country[]=Italy&region[]=Tuscany&location[]=Chianti%20Classico;1990 Italy:  Tuscany (Chianti Classico);90R;Outstanding;90;Ready to drink
Australia;Australia - South Australia: Barossa / McLaren Vale;1985;https://www.robertparker.com//search/wines?vintage=1985&country[]=Australia&region[]=South%20Australia&location[]=Barossa&location[]=McLaren%20Vale;1985 South Australia: Barossa / McLaren Vale;86C;Above-average;86;Caution, may be too old
Australia;Australia - South Australia: Barossa / McLaren Vale;1997;https://www.robertparker.com//search/wines?vintage=1997&country[]=Australia&region[]=South%20Australia&location[]=Barossa&location[]=McLaren%20Vale;1997 South Australia: Barossa / McLaren Vale;88R;Above-average;88;Ready to drink
France;France - Languedoc;2012;https://www.robertparker.com//search/wines?vintage=2012&country[]=France&region[]=Languedoc-Roussillon;2012 Languedoc;88I;Above-average;88;Irregular, even among the best wines
Germany;Germany;2010;https://www.robertparker.com//search/wines?vintage=2010&country[]=Germany&variety[]=Pinot%20Noir&variety[]=Sp%C3%A4tburgunder;2010 Germany: Pinot Noir / Spätburgunder;87T;Above-average;87;Still tannic, youthful, or slow to mature
Australia;Australia - Victoria / Tasmania;2015;https://www.robertparker.com//search/wines?vintage=2015&country[]=Australia&region[]=Victoria&region[]=Tasmania;2015 Australia: Victoria / Tasmania;93T;Outstanding;93;Still tannic, youthful, or slow to mature
Spain;Spain - Catalonia: Priorat;2003;https://www.robertparker.com//search/wines?vintage=2003&country[]=Spain&location[]=Priorat&region[]=Catalonia;2003 Spain: Priorat;90I;Outstanding;90;Irregular, even among the best wines
Spain;Spain - Castilla Leon: Ribera Del Duero;1984;https://www.robertparker.com//search/wines?vintage=1984&country[]=Spain&region[]=Castilla%20Le%C3%B3n&location[]=Ribera%20del%20Duero;1984 Spain:  Ribera del Duero;86R;Above-average;86;Ready to drink
Spain;Spain - Castilla Leon: Ribera Del Duero;2002;https://www.robertparker.com//search/wines?vintage=2002&country[]=Spain&region[]=Castilla%20Le%C3%B3n&location[]=Ribera%20del%20Duero;2002 Spain:  Ribera del Duero;78C;Average;78;Caution, may be too old
USA;USA - North Coast;1984;https://www.robertparker.com//search/wines?vintage=1984&country[]=USA&region[]=California&location[]=North%20Coast&variety[]=Pinot%20Noir;1984 Calif N Coast Pinot Noir;85R;Above-average;85;Ready to drink
